url,page,bias_rating,factuality_rating,credibility,domain
https://mediabiasfactcheck.com/1stheadlines-bias-and-credibility/,center,LEAST BIASED,MIXED,MEDIUM CREDIBILITY,https://www.1stheadlines.com/
https://mediabiasfactcheck.com/5pillars-bias-and-credibility/,center,LEAST BIASED,MOSTLY FACTUAL,HIGH CREDIBILITY,https://5pillarsuk.com/
https://mediabiasfactcheck.com/9news-kusa/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.9news.com/
https://mediabiasfactcheck.com/11-news-kkco/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.nbc11news.com/
https://mediabiasfactcheck.com/12-news-kpnx/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.12news.com/
https://mediabiasfactcheck.com/13-news-wibw/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.wibw.com/
https://mediabiasfactcheck.com/20-20-insight-bias-and-credibility/,center,LEAST BIASED,MIXED,MEDIUM CREDIBILITY,http://www.2020insightllc.com/
https://mediabiasfactcheck.com/23wifr-news/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.wifr.com/
https://mediabiasfactcheck.com/24-7-wall-st/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://247wallst.com/
https://mediabiasfactcheck.com/24ur-com/,center,LEAST BIASED,MOSTLY FACTUAL,HIGH CREDIBILITY,https://www.24ur.com/
https://mediabiasfactcheck.com/247sports-bias-and-credibility/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://247sports.com/
https://mediabiasfactcheck.com/270towin-bias-and-credibility/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.270towin.com/
https://mediabiasfactcheck.com/38-north/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.38north.org
https://mediabiasfactcheck.com/1010-wins-am/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.audacy.com/1010wins
https://mediabiasfactcheck.com/1440-newsletter/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://join1440.com/
https://mediabiasfactcheck.com/abc7chicago-com/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://abc7chicago.com/
https://mediabiasfactcheck.com/abc7-new-york/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://abc7ny.com/
https://mediabiasfactcheck.com/abc12-news-wjrt/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.abc12.com/
https://mediabiasfactcheck.com/abc-news-washington-post-polling-bias-and-credibility/,center,LEAST BIASED,VERY HIGH,HIGH CREDIBILITY,https://www.langerresearch.com/
https://mediabiasfactcheck.com/abs-cbn-news/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://news.abs-cbn.com/
https://mediabiasfactcheck.com/abt-associates-bias/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.abtassociates.com/
https://mediabiasfactcheck.com/actionnewsjax-com/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.actionnewsjax.com/
https://mediabiasfactcheck.com/all-generalizations-are-false-ad-fontes-media/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.adfontesmedia.com/
https://mediabiasfactcheck.com/adrian-daily-telegram-bias/,center,LEFT,HIGH,HIGH CREDIBILITY,https://www.lenconnect.com/
https://mediabiasfactcheck.com/audubon-advocate-journal-bias/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.swiowanewssource.com/audubon/
https://mediabiasfactcheck.com/adweek/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.adweek.com/
https://mediabiasfactcheck.com/africa-check/,center,LEAST BIASED,VERY HIGH,HIGH CREDIBILITY,https://africacheck.org
https://mediabiasfactcheck.com/agdaily/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.agdaily.com/
https://mediabiasfactcheck.com/agencia-efe-bias-and-credibility/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://efe.com/en/
https://mediabiasfactcheck.com/agenzia-nazionale-stampa-associata-ansa/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,http://www.ansa.it
https://mediabiasfactcheck.com/agerpres/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.agerpres.ro/english
https://mediabiasfactcheck.com/agriculturedive-bias/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.agriculturedive.com/
https://mediabiasfactcheck.com/agweb/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.agweb.com/
https://mediabiasfactcheck.com/ahwatukee-foothills-news-bias/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.ahwatukee.com/
https://mediabiasfactcheck.com/air-force-times/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.airforcetimes.com/
https://mediabiasfactcheck.com/airwars/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://airwars.org/
https://mediabiasfactcheck.com/alabama-now-bias/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.alabamanow.com/
https://mediabiasfactcheck.com/alabama-political-reporter/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.alreporter.com/
https://mediabiasfactcheck.com/albany-democrat-herald/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://democratherald.com/
https://mediabiasfactcheck.com/alexandria-times-tribune-bias-and-credibility/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.alexandriatimes-tribune.com/
https://mediabiasfactcheck.com/algemeen-dagblad/,center,LEAST BIASED,HIGH,HIGH CREDIBILITY,https://www.ad.nl/
